Predicted Values,True Values,dayofmonth,dayofweek,month
851.99,760,1,6,1
585.01,518,2,0,1
652.6,602,3,1,1
673.99,622,4,2,1
719.67,626,5,3,1
687.22,666,6,4,1
763.49,689,7,5,1
778.5,797,8,6,1
537.62,510,9,0,1
599.21,630,10,1,1
593.11,568,11,2,1
660.24,614,12,3,1
678.01,654,13,4,1
721.62,761,14,5,1
777.97,702,15,6,1
538.24,552,16,0,1
591.61,577,17,1,1
592.41,584,18,2,1
647.65,608,19,3,1
674.23,685,20,4,1
723.45,696,21,5,1
776.74,742,22,6,1
530.37,494,23,0,1
583.92,608,24,1,1
595.09,578,25,2,1
645.93,658,26,3,1
683.25,716,27,4,1
735.66,734,28,5,1
771.38,741,29,6,1
516.18,507,30,0,1
585.43,619,31,1,1
609.69,606,1,2,2
698.53,694,2,3,2
758.25,750,3,4,2
741.86,788,4,5,2
855.65,893,5,6,2
594.61,565,6,0,2
632.33,686,7,1,2
686.62,704,8,2,2
698.17,727,9,3,2
766.05,780,10,4,2
820.03,800,11,5,2
861.8,909,12,6,2
563.21,557,13,0,2
665.36,649,14,1,2
678.34,668,15,2,2
701.54,707,16,3,2
761.85,742,17,4,2
823.66,813,18,5,2
858.65,839,19,6,2
560.49,548,20,0,2
663.07,635,21,1,2
684.96,644,22,2,2
692.69,695,23,3,2
763.3,721,24,4,2
811.09,790,25,5,2
845.89,842,26,6,2
552.04,580,27,0,2
671.79,667,28,1,2
733.66,806,1,2,3
772.66,832,2,3,3
866.49,950,3,4,3
900.12,913,4,5,3
953.05,1034,5,6,3
635.85,718,6,0,3
737.48,758,7,1,3
789.41,785,8,2,3
847.39,859,9,3,3
900.33,877,10,4,3
943.1,948,11,5,3
1032.52,990,12,6,3
664.6,679,13,0,3
782.84,837,14,1,3
803.01,791,15,2,3
855.17,848,16,3,3
895.31,891,17,4,3
942.04,954,18,5,3
1024.28,1026,19,6,3
669.34,674,20,0,3
795.95,819,21,1,3
777.09,802,22,2,3
853.61,868,23,3,3
902.62,888,24,4,3
948.76,982,25,5,3
1017.63,998,26,6,3
667.5,656,27,0,3
784.64,827,28,1,3
789.78,797,29,2,3
853.81,880,30,3,3
908.96,942,31,4,3
962.84,1111,1,5,4
1096.63,1185,2,6,4
717.47,799,3,0,4
851.09,909,4,1,4
851.33,918,5,2,4
950.31,984,6,3,4
1015.85,1048,7,4,4
1131.99,1078,8,5,4
1158.68,1199,9,6,4
798.28,767,10,0,4
934.78,878,11,1,4
914.88,875,12,2,4
993.12,1000,13,3,4
1047.35,1043,14,4,4
1128.22,1110,15,5,4
1146.47,1128,16,6,4
795.64,822,17,0,4
937.61,882,18,1,4
924.3,908,19,2,4
998.8,997,20,3,4
1047.71,1046,21,4,4
1135.02,1179,22,5,4
1157.11,1213,23,6,4
796.78,748,24,0,4
931.95,834,25,1,4
915.46,929,26,2,4
996.74,965,27,3,4
1050.73,1037,28,4,4
1130.48,1126,29,5,4
1155.73,1225,30,6,4
815.89,809,1,0,5
911.27,995,2,1,5
984.9,973,3,2,5
1062.36,1053,4,3,5
1121.04,1148,5,4,5
1198.37,1211,6,5,5
1262.61,1319,7,6,5
882.52,852,8,0,5
953.66,999,9,1,5
1008.94,1005,10,2,5
1066.77,1052,11,3,5
1126.47,1140,12,4,5
1157.41,1172,13,5,5
1260.83,1277,14,6,5
877.33,880,15,0,5
958.61,983,16,1,5
1010.09,999,17,2,5
1068.38,1078,18,3,5
1129.13,1140,19,4,5
1202.44,1168,20,5,5
1261.65,1300,21,6,5
871.26,827,22,0,5
935.83,1036,23,1,5
1012.12,938,24,2,5
1068.74,1102,25,3,5
1145.22,1141,26,4,5
1205.51,1244,27,5,5
1282.59,1265,28,6,5
852.95,810,29,0,5
943.25,968,30,1,5
986.94,963,31,2,5
988.85,1098,1,3,6
1158.21,1216,2,4,6
1241.55,1273,3,5,6
1311.1,1413,4,6,6
838.4,881,5,0,6
980.04,1091,6,1,6
1060.18,1107,7,2,6
1125.72,1226,8,3,6
1243.91,1197,9,4,6
1275.0,1296,10,5,6
1318.93,1389,11,6,6
902.76,858,12,0,6
1002.34,1042,13,1,6
1085.95,1082,14,2,6
1126.08,1173,15,3,6
1205.29,1267,16,4,6
1287.16,1296,17,5,6
1323.73,1358,18,6,6
912.98,940,19,0,6
1021.26,1057,20,1,6
1091.0,1085,21,2,6
1127.7,1159,22,3,6
1212.6,1143,23,4,6
1263.79,1320,24,5,6
1326.27,1380,25,6,6
906.98,879,26,0,6
1017.02,1104,27,1,6
1098.02,1072,28,2,6
1126.0,1172,29,3,6
1240.51,1227,30,4,6
1282.92,1378,1,5,7
1346.83,1485,2,6,7
891.42,1027,3,0,7
1039.77,1137,4,1,7
1114.51,1164,5,2,7
1171.94,1227,6,3,7
1277.93,1275,7,4,7
1329.34,1361,8,5,7
1346.11,1422,9,6,7
939.34,977,10,0,7
1056.37,1109,11,1,7
1131.27,1062,12,2,7
1160.27,1181,13,3,7
1259.09,1241,14,4,7
1327.74,1422,15,5,7
1349.24,1519,16,6,7
922.05,978,17,0,7
1055.81,1130,18,1,7
1127.77,1137,19,2,7
1202.03,1221,20,3,7
1287.23,1313,21,4,7
1332.59,1290,22,5,7
1350.39,1406,23,6,7
936.66,956,24,0,7
1057.21,1145,25,1,7
1151.88,1193,26,2,7
1216.33,1262,27,3,7
1294.96,1299,28,4,7
1335.98,1440,29,5,7
1353.54,1439,30,6,7
938.28,974,31,0,7
1028.1,968,1,1,8
1052.78,1003,2,2,8
1086.03,1056,3,3,8
1168.91,1135,4,4,8
1157.56,1169,5,5,8
1268.53,1259,6,6,8
949.17,857,7,0,8
954.84,1000,8,1,8
1016.94,993,9,2,8
1062.58,1048,10,3,8
1154.65,1151,11,4,8
1161.64,1217,12,5,8
1282.03,1264,13,6,8
877.75,830,14,0,8
935.7,946,15,1,8
996.61,953,16,2,8
1060.28,1107,17,3,8
1158.9,1142,18,4,8
1163.08,1215,19,5,8
1284.29,1310,20,6,8
863.29,878,21,0,8
945.89,975,22,1,8
1011.16,954,23,2,8
1058.58,1108,24,3,8
1140.62,1187,25,4,8
1160.93,1214,26,5,8
1281.33,1336,27,6,8
872.26,822,28,0,8
958.35,1017,29,1,8
997.96,963,30,2,8
1067.11,1070,31,3,8
1106.16,1040,1,4,9
1116.1,1094,2,5,9
1151.7,1144,3,6,9
848.65,771,4,0,9
913.1,913,5,1,9
942.07,956,6,2,9
1000.44,1003,7,3,9
1054.94,1071,8,4,9
1138.83,1097,9,5,9
1153.18,1206,10,6,9
791.24,833,11,0,9
928.58,931,12,1,9
938.57,862,13,2,9
1006.38,995,14,3,9
1063.46,1031,15,4,9
1146.39,1110,16,5,9
1165.73,1203,17,6,9
789.14,756,18,0,9
935.59,889,19,1,9
928.85,976,20,2,9
1017.88,1025,21,3,9
1055.25,1013,22,4,9
1131.27,1117,23,5,9
1157.02,1161,24,6,9
794.98,804,25,0,9
934.6,900,26,1,9
935.1,893,27,2,9
1016.31,964,28,3,9
1058.77,1080,29,4,9
1138.41,1175,30,5,9
1156.7,1111,1,6,10
811.63,769,2,0,10
875.32,940,3,1,10
900.75,841,4,2,10
961.96,904,5,3,10
993.65,942,6,4,10
1037.19,1021,7,5,10
1107.72,1078,8,6,10
753.49,764,9,0,10
867.34,826,10,1,10
852.14,866,11,2,10
940.61,943,12,3,10
989.33,938,13,4,10
1035.66,1043,14,5,10
1116.36,1101,15,6,10
764.83,751,16,0,10
853.45,878,17,1,10
888.02,871,18,2,10
945.6,906,19,3,10
1000.36,991,20,4,10
1050.15,1026,21,5,10
1120.24,1128,22,6,10
759.8,812,23,0,10
871.24,842,24,1,10
874.38,854,25,2,10
943.34,920,26,3,10
988.79,1025,27,4,10
1044.88,1095,28,5,10
1112.17,1057,29,6,10
755.09,693,30,0,10
854.52,834,31,1,10
864.61,917,1,2,11
963.63,994,2,3,11
1047.36,1051,3,4,11
1116.68,1149,4,5,11
1161.43,1193,5,6,11
794.42,839,6,0,11
896.41,970,7,1,11
937.29,913,8,2,11
1015.1,987,9,3,11
1051.26,1030,10,4,11
1133.46,1074,11,5,11
1133.67,1215,12,6,11
795.14,815,13,0,11
940.84,966,14,1,11
932.31,880,15,2,11
997.9,963,16,3,11
1048.55,1113,17,4,11
1133.98,1145,18,5,11
1166.59,1201,19,6,11
791.77,762,20,0,11
939.99,902,21,1,11
931.93,910,22,2,11
1003.8,1001,23,3,11
1054.19,1044,24,4,11
1134.26,1102,25,5,11
1164.02,1228,26,6,11
789.93,794,27,0,11
933.1,863,28,1,11
936.32,901,29,2,11
1019.82,1006,30,3,11
991.44,745,1,4,12
867.87,834,2,5,12
851.7,867,3,6,12
759.97,550,4,0,12
675.63,623,5,1,12
672.21,649,6,2,12
707.13,679,7,3,12
754.34,787,8,4,12
774.82,813,9,5,12
772.03,848,10,6,12
550.3,589,11,0,12
636.04,652,12,1,12
660.37,603,13,2,12
682.76,677,14,3,12
757.55,804,15,4,12
797.15,795,16,5,12
765.33,859,17,6,12
557.8,556,18,0,12
648.13,709,19,1,12
671.31,636,20,2,12
695.33,693,21,3,12
755.21,755,22,4,12
796.91,821,23,5,12
757.24,854,24,6,12
561.38,547,25,0,12
653.01,676,26,1,12
669.63,696,27,2,12
710.9,704,28,3,12
765.62,744,29,4,12
780.53,783,30,5,12
728.92,835,31,6,12
