Predicted Values,True Values,dayofmonth,dayofweek,month
566.7854686010393,533,1,6,1
340.27910150165565,364,2,0,1
426.4407550265333,395,3,1,1
424.1784564878112,409,4,2,1
458.6902522550225,447,5,3,1
494.8054015002728,485,6,4,1
521.070648330483,525,7,5,1
531.6419955733384,506,8,6,1
343.6301619947086,362,9,0,1
424.6838892674429,400,10,1,1
424.0253600946687,408,11,2,1
457.8789332398663,456,12,3,1
485.19691285118176,477,13,4,1
518.5853463351874,508,14,5,1
542.9504448407637,565,15,6,1
347.7628225399691,340,16,0,1
431.31706590799985,406,17,1,1
421.8570765058507,464,18,2,1
449.98076604751196,420,19,3,1
482.431515827508,471,20,4,1
512.7290094009179,500,21,5,1
545.650340635482,517,22,6,1
345.1652923837186,378,23,0,1
434.17528243737655,419,24,1,1
426.66264465303976,405,25,2,1
443.95525751731714,444,26,3,1
484.9036706207,478,27,4,1
512.6064344482585,520,28,5,1
539.4955731841575,506,29,6,1
344.2103538267365,328,30,0,1
426.91206080524756,430,31,1,1
417.1879356819664,472,1,2,2
487.62665354114546,535,2,3,2
536.5180613579272,568,3,4,2
553.3595379406839,540,4,5,2
602.5861277450863,606,5,6,2
390.1623511264438,378,6,0,2
460.5609872929146,477,7,1,2
489.26183747224337,418,8,2,2
484.1583877866821,507,9,3,2
529.361143865134,540,10,4,2
563.5388764209373,520,11,5,2
596.2712936235115,582,12,6,2
400.7449086974321,374,13,0,2
456.25558255421817,471,14,1,2
464.66680896469427,465,15,2,2
497.92944596035227,522,16,3,2
532.8628914439311,530,17,4,2
572.7720778169057,603,18,5,2
594.7438432588687,572,19,6,2
391.1330141037632,388,20,0,2
463.55797351791233,453,21,1,2
467.3457879537426,469,22,2,2
491.8828125128542,473,23,3,2
547.9747246631813,513,24,4,2
568.3031110842538,561,25,5,2
606.725378251027,560,26,6,2
394.478821245747,424,27,0,2
475.2105762075223,486,28,1,2
458.52424423056266,558,1,2,3
570.6176588597187,574,2,3,3
617.9245885923436,612,3,4,3
648.4137497842802,690,4,5,3
704.6674260862271,717,5,6,3
487.5202205205787,470,6,0,3
541.8473668138796,513,7,1,3
596.3424455663618,594,8,2,3
599.8984881573257,538,9,3,3
623.4681206610079,595,10,4,3
655.063757963387,663,11,5,3
698.4055053946773,692,12,6,3
465.40501160908104,488,13,0,3
557.0907052546273,557,14,1,3
566.1657236706079,517,15,2,3
584.3737056441975,622,16,3,3
635.0329820657374,570,17,4,3
666.0518452839171,693,18,5,3
715.257377548569,726,19,6,3
476.1519466066396,494,20,0,3
554.3915941979595,536,21,1,3
558.8090904536638,622,22,2,3
600.6349430625456,612,23,3,3
633.9276544092385,615,24,4,3
676.343216443776,706,25,5,3
716.7440998844992,713,26,6,3
472.09010218098456,416,27,0,3
567.6096098821862,532,28,1,3
561.2624041579115,483,29,2,3
586.5725901038626,561,30,3,3
637.539534343096,606,31,4,3
673.1542041377069,853,1,5,4
798.6611554148221,794,2,6,4
579.8175356640426,604,3,0,4
630.337210248506,660,4,1,4
638.1188456129237,711,5,2,4
661.7971390437718,681,6,3,4
709.9296593986907,748,7,4,4
827.3283893020458,750,8,5,4
828.0829125913781,812,9,6,4
567.1582612222492,553,10,0,4
640.9782613301086,698,11,1,4
628.1178237857513,639,12,2,4
696.3902825556677,680,13,3,4
719.7921511458128,646,14,4,4
778.8895651379563,819,15,5,4
813.940405381877,808,16,6,4
559.3985953872217,527,17,0,4
637.1694296293637,639,18,1,4
639.3326346902002,657,19,2,4
688.4161533026105,706,20,3,4
745.4649040505227,745,21,4,4
791.0276657319685,765,22,5,4
818.4810093725803,789,23,6,4
571.2083267547001,551,24,0,4
637.9735802862901,650,25,1,4
648.24493793273,648,26,2,4
700.4944928057907,663,27,3,4
730.86496278891,728,28,4,4
787.1748798231873,758,29,5,4
830.1587898607678,837,30,6,4
563.2226634479217,592,1,0,5
675.4993511304757,690,2,1,5
679.9858043307487,764,3,2,5
737.9283602029203,733,4,3,5
786.7114502419023,764,5,4,5
833.4182311360869,874,6,5,5
877.7703671973666,859,7,6,5
635.1414576386953,568,8,0,5
699.5037518938668,671,9,1,5
684.8885861292906,674,10,2,5
737.5451654312902,751,11,3,5
786.7427029414093,741,12,4,5
834.9153837449286,864,13,5,5
875.4727399931791,896,14,6,5
606.6508921690182,568,15,0,5
686.7475657685701,660,16,1,5
689.9232701616139,720,17,2,5
736.6742907656458,689,18,3,5
776.1499880890852,811,19,4,5
847.2392622956756,858,20,5,5
889.3717907319834,930,21,6,5
619.5946553286816,592,22,0,5
707.369681073514,678,23,1,5
679.408039445139,683,24,2,5
749.1191769989308,714,25,3,5
783.5314007281627,801,26,4,5
845.8134159303975,840,27,5,5
885.322841084161,890,28,6,5
607.7129567508645,592,29,0,5
691.3959321672751,696,30,1,5
681.2313371106188,696,31,2,5
750.8606101403059,811,1,3,6
